Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points
JBHT, J.B. Hunt Transport Services Inc.,109.25,-1.57,-1.42,539861,-0.2
JD, JD.com Inc.,22.4,-1.67,-6.94,17288117,-1.3
KLAC, KLA-Tencor Corporation,97.05,0.54,0.56,1428667,0.1
LRCX, Lam Research Corporation,151.68,-0.01,-0.01,1245587,0
LBTYA, Liberty Global plc,25.52,-1.08,-4.06,2149580,-0.2
LBTYK, Liberty Global plc,24.92,-1.02,-3.93,4627940,-0.5
MAR, Marriott International,116.91,0.77,0.66,1809552,0.2
MXIM, Maxim Integrated Products Inc.,53.22,0.58,1.1,2970410,0.1
MELI, MercadoLibre Inc.,331.47,-18.09,-5.18,568161,-0.7
MCHP, Microchip Technology Incorporated,74.45,4.15,5.9,7199105,0.9
MU, Micron Technology Inc.,40.44,-0.49,-1.2,15465298,-0.5
MSFT, Microsoft Corporation,111.75,-0.21,-0.19,25455928,-1.4
MDLZ, Mondelez International Inc.,43.94,0.28,0.64,5316102,0.4
MNST, Monster Beverage Corporation,54.14,-1.77,-3.17,14128950,-0.9
MYL, Mylan N.V.,37.15,0.6,1.64,5600423,0.3
NTES, NetEase Inc.,231.4,-3.65,-1.55,949778,-0.2
NFLX, Netflix Inc.,317.92,-9.58,-2.93,11007993,-3.6
NVDA, NVIDIA Corporation,205.99,-7.8,-3.65,12757644,-4.1
NXPI, NXP Semiconductors N.V.,84.62,-0.83,-0.97,4006799,-0.3
ORLY, O'Reilly Automotive Inc.,353.44,11.31,3.31,1017051,0.8
PCAR, PACCAR Inc.,60.15,0.25,0.42,1715045,0.1
PAYX, Paychex Inc.,69,0.52,0.76,1853757,0.2
PYPL, PayPal Holdings Inc.,89.04,0.81,0.92,7529847,0.8
PEP, Pepsico Inc.,116.06,0.45,0.39,2905518,0.6
QCOM, QUALCOMM Incorporated,58.05,-5.16,-8.16,32152805,-6.6
QRTEA, Qurate Retail Inc.,23.67,-0.4,-1.66,5269667,-0.2
REGN, Regeneron Pharmaceuticals Inc.,363.34,-0.91,-0.25,532350,-0.1
ROST, Ross Stores Inc.,103.33,0.58,0.56,2086203,0.2
STX, Seagate Technology PLC,45.33,-0.47,-1.03,4428439,-0.1
SHPG, Shire plc,180.95,0,0,1568437,0
SIRI, Sirius XM Holdings Inc.,6.21,-0.0779,-1.24,21951963,-0.3
SWKS, Skyworks Solutions Inc.,83.4,0.75,0.91,2647829,0.1
SBUX, Starbucks Corporation,68.72,0.56,0.82,14070572,0.7
SYMC, Symantec Corporation,22.39,-0.42,-1.84,14448171,-0.2
SNPS, Synopsys Inc.,94.34,1.12,1.2,818105,0.1
TMUS, T-Mobile US Inc.,69.75,-0.59,-0.84,2760931,-0.4
TTWO, Take-Two Interactive Software Inc.,119.14,-6.67,-5.3,7442595,-0.7
TSLA, Tesla Inc.,351.4,3.24,0.93,7077008,0.5
TXN, Texas Instruments Incorporated,98.48,1.28,1.32,5938847,1.1
KHC, The Kraft Heinz Company,53.31,-0.24,-0.45,5022162,-0.3
FOX, Twenty-First Century Fox Inc.,47.47,0.31,0.66,3295026,0.2
FOXA, Twenty-First Century Fox Inc.,47.84,0.29,0.61,10324273,0.3
ULTA, Ulta Beauty Inc.,304.49,13.98,4.81,1926327,0.7
VRSK, Verisk Analytics Inc.,122.72,1.77,1.46,540683,0.3
VRTX, Vertex Pharmaceuticals Incorporated,180.26,-3.62,-1.97,1061729,-0.8
VOD, Vodafone Group Plc,19.09,-0.42,-2.15,7155267,-0.2
WBA, Walgreens Boots Alliance Inc.,82.44,0.97,1.19,5339358,0.8
WDC, Western Digital Corporation,47.56,-0.97,-2,3994527,-0.3
WDAY, Workday Inc.,145.99,1.75,1.21,1626854,0.2
WYNN, Wynn Resorts Limited,99.02,-14.97,-13.13,13390958,-1.4
XLNX, Xilinx Inc.,86.68,1.58,1.86,2762390,0.4
